Source,Target,type,id,mention,Weight,who
8,270,Directed,370,mentioned,1,Appius Claudius Caecus
8,387,Directed,371,mentioned,1,Sulla
9,271,Directed,372,mentioned,1,"Q, Fabius Maximus Cunctator"
9,267,Directed,373,mentioned,1,M. Porcius Cato
9,272,Directed,374,mentioned,1,C. Sulpicius Gallus
17,273,Directed,375,mentioned,1,P. Cornelius Scipio Aemilianus Africanus Minor
17,274,Directed,376,mentioned,1,C. Laelius
38,275,Directed,377,mentioned,1,P. Mucius Scaevola
38,276,Directed,378,mentioned,2,Manius Manlius
38,277,Directed,379,mentioned,1,L. Papirius Cursor
38,278,Directed,380,mentioned,1,Sextus Aelius Paetus Catus
38,268,Directed,381,mentioned,1,Marcus Junius Brutus Maior
39,87,Directed,382,mentioned,2,Marcus Porcius Cato Uticensis
41,279,Directed,383,mentioned,1,Lucius Accius
1,280,Directed,384,mentioned,1,Plato
1,281,Directed,385,mentioned,1,Apelles
1,282,Directed,386,mentioned,1,Aristotle
1,283,Directed,387,mentioned,1,Isocrates
4,284,Directed,388,mentioned,1,Clitarchus
4,285,Directed,389,mentioned,1,Darius
4,286,Directed,390,mentioned,1,Alexander
8,287,Directed,391,mentioned,1,Aristarchus of Samothrace
8,288,Directed,392,mentioned,1,Homer
20,289,Directed,393,mentioned,1,Callisthenes
20,290,Directed,394,mentioned,1,Timaeus
20,291,Directed,395,mentioned,1,Polybius
20,292,Directed,396,mentioned,1,Xenophon
20,293,Directed,397,mentioned,1,Epaminondas
20,294,Directed,398,mentioned,1,Themistocles
20,286,Directed,399,mentioned,1,Alexander
20,281,Directed,400,mentioned,1,Apelles
20,295,Directed,401,mentioned,1,Lysippus
20,296,Directed,402,mentioned,1,Agesilaus
20,297,Directed,403,mentioned,1,Timoleon
20,298,Directed,404,mentioned,1,Herodotus
20,288,Directed,405,mentioned,1,Homer
20,299,Directed,406,mentioned,1,Naevius
26,300,Directed,407,mentioned,1,Amphiaraus
38,282,Directed,408,mentioned,1,Aristotle
38,301,Directed,409,mentioned,1,Nicon
39,302,Directed,410,mentioned,1,Cipius Pararchenchon
39,303,Directed,411,mentioned,1,Hipponax of Ephesus
39,304,Directed,412,mentioned,1,Epicurus
42,305,Directed,413,mentioned,1,Chrysippus of Soli
42,306,Directed,414,mentioned,1,Diodorus Cronus
42,307,Directed,415,mentioned,1,Antiochus of Ascalon
42,308,Directed,416,mentioned,1,Philo of Larissa
44,309,Directed,417,mentioned,1,C. Lucilius
44,310,Directed,418,mentioned,1,C. Laelius Sapiens
44,311,Directed,419,mentioned,1,Plautus
44,279,Directed,420,mentioned,1,Lucius Accius
44,304,Directed,421,mentioned,1,Epicurus
44,312,Directed,422,mentioned,1,Quintus Trabea
44,313,Directed,423,mentioned,1,L. Papirius Mugillanus
44,314,Directed,424,mentioned,1,L. Sempronius Atratinus
44,315,Directed,425,mentioned,1,L. Papirius Crassus
44,316,Directed,426,mentioned,1,C. Duilius
44,317,Directed,427,mentioned,1,L. Masso
44,318,Directed,428,mentioned,1,C. Papirius Carbo
44,319,Directed,429,mentioned,1,Brutus Damasippus
44,320,Directed,430,mentioned,1,Cn. Papirius Carbo
44,321,Directed,431,mentioned,1,M. Papirius Carbo
44,322,Directed,432,mentioned,1,P. Valerius Flaccus
44,323,Directed,433,mentioned,1,M. Antonius Orator
44,273,Directed,434,mentioned,1,P. Cornelius Scipio Aemilianus Africanus Minor
44,277,Directed,435,mentioned,1,L. Papirius Cursor
44,324,Directed,436,mentioned,1,Zeno of Citium
44,325,Directed,437,mentioned,1,L. Calpurnius Piso Frugi
44,326,Directed,438,mentioned,2,Socrates
44,280,Directed,439,mentioned,1,Plato
44,327,Directed,440,mentioned,1,M. Caeparius
44,328,Directed,441,mentioned,1,Spurinna the Haruspex
44,329,Directed,442,mentioned,1,Rufus
44,330,Directed,443,mentioned,1,Pyrrhus of Epirus
44,331,Directed,444,mentioned,1,Cineas
44,332,Directed,445,mentioned,1,Mato
44,39,Directed,446,mentioned,1,M. Fadius Gallus
44,333,Directed,447,mentioned,1,Q. Fadius Gallus
44,52,Directed,448,mentioned,1,C. Asinius Pollio
44,41,Directed,449,mentioned,1,P. Volumnius Eutrapelus
44,169,Directed,450,mentioned,1,Atticus
